transaction_id,date,channel,business_unit,amount_usd,is_fraud,fraud_type,detection_method,loss_amount_usd,recovered_amount_usd,status
TXN-500136,2024-08-01 01:15:43,ATM,Retail Banking,26817.41,N,,,0.0,0.0,Cleared - False Positive
TXN-500720,2024-08-01 01:53:52,Mobile,Digital Banking,14487.35,Y,Synthetic Identity,Customer Reported,13559.25,151.52,Recovered
TXN-501470,2024-08-01 02:24:40,Card,Payments & Cards,1705.0,N,,,0.0,0.0,Cleared - False Positive
TXN-502152,2024-08-01 07:44:59,Card,Payments & Cards,15534.21,Y,Synthetic Identity,Manual Review,9045.69,2794.35,Charged Off
TXN-501133,2024-08-01 09:09:57,Online,Digital Banking,27068.91,N,,,0.0,0.0,Cleared - False Positive
TXN-501817,2024-08-01 12:26:31,Card,Payments & Cards,11203.17,N,,,0.0,0.0,Cleared - False Positive
TXN-500630,2024-08-02 03:31:37,Card,Payments & Cards,31340.33,N,,,0.0,0.0,Cleared - False Positive
TXN-502011,2024-08-02 10:27:40,Wire,Payments & Cards,118683.51,N,,,0.0,0.0,Cleared - False Positive
TXN-501740,2024-08-03 06:48:03,Mobile,Digital Banking,19817.57,Y,Synthetic Identity,Customer Reported,9364.64,2372.04,Confirmed Fraud
TXN-501483,2024-08-03 17:09:22,Card,Payments & Cards,6024.08,N,,,0.0,0.0,Cleared - False Positive
TXN-500731,2024-08-04 05:49:31,Mobile,Digital Banking,26653.23,Y,Synthetic Identity,ML Model,17395.83,1946.71,Recovered
TXN-501051,2024-08-04 11:19:44,Card,Payments & Cards,15793.8,Y,Synthetic Identity,Rule Engine,13981.84,671.9,Confirmed Fraud
TXN-501643,2024-08-04 12:32:58,ATM,Retail Banking,39929.98,Y,Card Skimming,Rule Engine,37197.73,5486.91,Charged Off
TXN-501314,2024-08-04 15:45:50,Online,Digital Banking,10503.75,Y,Account Takeover,ML Model,5995.86,433.45,Under Review
TXN-502255,2024-08-04 18:47:33,ACH,Commercial Banking,34569.95,N,,,0.0,0.0,Cleared - False Positive
TXN-500521,2024-08-05 00:20:55,Mobile,Digital Banking,18604.07,N,,,0.0,0.0,Cleared - False Positive
TXN-500621,2024-08-05 00:28:02,Online,Digital Banking,32871.98,Y,Card Not Present,Manual Review,31162.1,17061.99,Under Review
TXN-501535,2024-08-05 03:53:22,Online,Digital Banking,1932.77,N,,,0.0,0.0,Cleared - False Positive
TXN-501263,2024-08-05 08:45:08,Mobile,Digital Banking,41187.72,Y,Account Takeover,Customer Reported,40815.38,7525.69,Confirmed Fraud
TXN-502388,2024-08-05 20:47:32,Mobile,Digital Banking,29699.82,N,,,0.0,0.0,Cleared - False Positive
TXN-501144,2024-08-06 14:42:43,Card,Payments & Cards,18407.27,N,,,0.0,0.0,Cleared - False Positive
TXN-501539,2024-08-06 19:02:27,Online,Digital Banking,25959.55,N,,,0.0,0.0,Cleared - False Positive
TXN-500292,2024-08-07 00:15:46,Card,Payments & Cards,4029.57,N,,,0.0,0.0,Cleared - False Positive
TXN-501718,2024-08-07 01:26:04,Card,Payments & Cards,36076.93,Y,Card Not Present,ML Model,25630.2,982.7,Charged Off
TXN-500198,2024-08-07 04:08:40,Mobile,Digital Banking,15374.44,N,,,0.0,0.0,Cleared - False Positive
TXN-501710,2024-08-07 09:53:29,Wire,Payments & Cards,59134.98,N,,,0.0,0.0,Cleared - False Positive
TXN-501136,2024-08-07 11:37:19,Online,Digital Banking,22939.47,N,,,0.0,0.0,Cleared - False Positive
TXN-501568,2024-08-07 17:49:26,Online,Digital Banking,9751.81,Y,Card Not Present,Manual Review,3608.81,250.12,Confirmed Fraud
TXN-502454,2024-08-07 19:26:18,ACH,Commercial Banking,37374.02,N,,,0.0,0.0,Cleared - False Positive
TXN-502554,2024-08-08 13:37:34,Mobile,Digital Banking,2231.94,Y,Account Takeover,Rule Engine,2222.29,784.38,Recovered
TXN-500696,2024-08-08 15:28:22,Online,Digital Banking,33740.06,Y,Account Takeover,ML Model,24466.99,9552.05,Charged Off
TXN-500106,2024-08-08 19:57:35,Wire,Payments & Cards,103228.1,N,,,0.0,0.0,Cleared - False Positive
TXN-500526,2024-08-09 04:32:33,ACH,Commercial Banking,42132.43,N,,,0.0,0.0,Cleared - False Positive
TXN-501311,2024-08-10 00:29:22,Online,Digital Banking,15364.24,N,,,0.0,0.0,Cleared - False Positive
TXN-500635,2024-08-10 02:13:22,Card,Payments & Cards,42985.51,N,,,0.0,0.0,Cleared - False Positive
TXN-500749,2024-08-10 03:52:18,Mobile,Digital Banking,36825.13,N,,,0.0,0.0,Cleared - False Positive
TXN-502247,2024-08-10 18:12:42,ACH,Commercial Banking,14052.03,Y,Synthetic Identity,Rule Engine,8527.13,3283.88,Confirmed Fraud
TXN-501429,2024-08-11 04:03:25,Wire,Payments & Cards,156277.83,Y,Business Email Compromise,Manual Review,73212.44,5845.41,Recovered
TXN-500238,2024-08-12 02:36:43,Mobile,Digital Banking,6496.93,N,,,0.0,0.0,Cleared - False Positive
TXN-501943,2024-08-12 02:39:12,ACH,Commercial Banking,44341.86,Y,Synthetic Identity,Manual Review,41202.05,480.18,Charged Off
TXN-500667,2024-08-12 04:22:08,Card,Payments & Cards,5509.88,N,,,0.0,0.0,Cleared - False Positive
TXN-502493,2024-08-12 11:59:49,Mobile,Digital Banking,31929.75,Y,Account Takeover,Customer Reported,14798.56,228.77,Under Review
TXN-501405,2024-08-12 13:32:20,Card,Payments & Cards,35468.16,Y,Synthetic Identity,ML Model,17241.83,1664.84,Recovered
TXN-502433,2024-08-12 18:49:27,Card,Payments & Cards,1864.62,N,,,0.0,0.0,Cleared - False Positive
TXN-500912,2024-08-12 21:08:12,Card,Payments & Cards,29037.0,N,,,0.0,0.0,Cleared - False Positive
TXN-500626,2024-08-13 04:15:00,Online,Digital Banking,29004.99,N,,,0.0,0.0,Cleared - False Positive
TXN-501074,2024-08-13 05:51:27,Card,Payments & Cards,25869.21,Y,Card Skimming,Customer Reported,7970.62,2095.56,Confirmed Fraud
TXN-500082,2024-08-13 07:40:23,Wire,Payments & Cards,25636.58,Y,Business Email Compromise,Manual Review,11049.54,469.48,Recovered
TXN-502098,2024-08-13 09:51:55,ACH,Commercial Banking,36203.69,Y,Account Takeover,Manual Review,26417.64,3036.78,Confirmed Fraud
TXN-500256,2024-08-13 10:30:52,ATM,Retail Banking,20207.95,N,,,0.0,0.0,Cleared - False Positive
TXN-502197,2024-08-13 11:35:35,Card,Payments & Cards,30306.59,Y,Synthetic Identity,Rule Engine,11670.36,3173.46,Confirmed Fraud
TXN-500261,2024-08-13 14:58:23,Card,Payments & Cards,4693.75,N,,,0.0,0.0,Cleared - False Positive
TXN-502597,2024-08-13 21:15:30,Online,Digital Banking,28715.89,N,,,0.0,0.0,Cleared - False Positive
TXN-500747,2024-08-13 21:57:54,Card,Payments & Cards,17291.89,Y,Card Not Present,ML Model,14428.56,244.04,Confirmed Fraud
TXN-500360,2024-08-14 04:59:10,ACH,Commercial Banking,16798.18,N,,,0.0,0.0,Cleared - False Positive
TXN-500609,2024-08-14 08:28:08,Card,Payments & Cards,34157.17,Y,Card Not Present,Rule Engine,27890.67,7853.71,Charged Off
TXN-501614,2024-08-14 08:53:52,Mobile,Digital Banking,15036.66,N,,,0.0,0.0,Cleared - False Positive
TXN-500004,2024-08-14 09:09:03,Card,Payments & Cards,39100.87,N,,,0.0,0.0,Cleared - False Positive
TXN-500375,2024-08-14 17:54:01,Mobile,Digital Banking,17848.71,N,,,0.0,0.0,Cleared - False Positive
TXN-502402,2024-08-14 22:02:42,Online,Digital Banking,18799.39,Y,Card Not Present,Manual Review,6163.01,0.37,Confirmed Fraud
TXN-501040,2024-08-14 22:05:31,Card,Payments & Cards,29131.87,N,,,0.0,0.0,Cleared - False Positive
TXN-501183,2024-08-15 05:12:17,Mobile,Digital Banking,37595.35,Y,Synthetic Identity,Manual Review,19766.61,3282.85,Charged Off
TXN-502220,2024-08-15 09:08:28,Card,Payments & Cards,32291.36,N,,,0.0,0.0,Cleared - False Positive
TXN-500423,2024-08-15 19:08:42,ACH,Commercial Banking,41401.11,N,,,0.0,0.0,Cleared - False Positive
TXN-500370,2024-08-15 19:15:15,Card,Payments & Cards,8635.81,Y,Synthetic Identity,Customer Reported,2616.91,1052.61,Recovered
TXN-500171,2024-08-16 09:49:30,ATM,Retail Banking,10030.49,N,,,0.0,0.0,Cleared - False Positive
TXN-502450,2024-08-16 17:16:42,Card,Payments & Cards,36435.11,N,,,0.0,0.0,Cleared - False Positive
TXN-501380,2024-08-17 01:07:56,Card,Payments & Cards,9334.79,N,,,0.0,0.0,Cleared - False Positive
