quarter,business_unit,category,budget_usd,actual_spend_usd,estimated_loss_avoided_usd
2024Q3,Retail Banking,Prevention,786312.44,839087.63,2935349.36
2024Q3,Retail Banking,Detection & Monitoring,98865.82,84365.9,228832.92
2024Q3,Retail Banking,Incident Response,707003.43,698928.32,282979.77
2024Q3,Retail Banking,Compliance & Audit,61386.51,53580.79,1056.68
2024Q3,Retail Banking,Cyber Insurance,792261.25,854351.69,49069.37
2024Q3,Commercial Banking,Prevention,364196.31,391545.64,1401114.47
2024Q3,Commercial Banking,Detection & Monitoring,729867.07,654257.37,3878683.69
2024Q3,Commercial Banking,Incident Response,399254.16,376042.16,150450.86
2024Q3,Commercial Banking,Compliance & Audit,183733.21,167960.32,23535.88
2024Q3,Commercial Banking,Cyber Insurance,874424.07,820943.99,389297.05
2024Q3,Wealth Management,Prevention,432999.81,474491.35,1366308.33
2024Q3,Wealth Management,Detection & Monitoring,498725.32,535568.36,2194955.25
2024Q3,Wealth Management,Incident Response,727837.2,762962.98,237853.02
2024Q3,Wealth Management,Compliance & Audit,579332.54,577142.94,141725.28
2024Q3,Wealth Management,Cyber Insurance,358192.06,389981.22,174638.32
2024Q3,Payments & Cards,Prevention,149904.9,138939.9,407931.74
2024Q3,Payments & Cards,Detection & Monitoring,660016.83,564487.56,2735809.74
2024Q3,Payments & Cards,Incident Response,173282.23,152235.8,95.8
2024Q3,Payments & Cards,Compliance & Audit,213187.07,234179.0,54917.81
2024Q3,Payments & Cards,Cyber Insurance,231475.65,220686.65,1221.01
2024Q3,Mortgage & Lending,Prevention,306680.69,274987.31,711902.68
2024Q3,Mortgage & Lending,Detection & Monitoring,257614.96,268029.26,533708.05
2024Q3,Mortgage & Lending,Incident Response,294935.44,297712.35,5037.53
2024Q3,Mortgage & Lending,Compliance & Audit,689624.94,670226.73,71106.05
2024Q3,Mortgage & Lending,Cyber Insurance,536770.53,485725.33,70835.94
2024Q3,Digital Banking,Prevention,62684.08,60857.66,280129.71
2024Q3,Digital Banking,Detection & Monitoring,308226.91,295207.46,1248691.73
2024Q3,Digital Banking,Incident Response,257159.74,239825.15,77841.43
2024Q3,Digital Banking,Compliance & Audit,557756.73,565309.2,61734.39
2024Q3,Digital Banking,Cyber Insurance,247745.85,216602.17,61643.73
2024Q3,Corporate IT & Infrastructure,Prevention,803163.12,831148.36,4640460.5
2024Q3,Corporate IT & Infrastructure,Detection & Monitoring,352369.24,341203.76,1634509.38
2024Q3,Corporate IT & Infrastructure,Incident Response,94824.06,91284.29,4050.2
2024Q3,Corporate IT & Infrastructure,Compliance & Audit,357032.7,363489.21,130427.5
2024Q3,Corporate IT & Infrastructure,Cyber Insurance,466179.51,509057.09,174008.62
2024Q4,Retail Banking,Prevention,843284.88,822799.84,2816841.19
2024Q4,Retail Banking,Detection & Monitoring,502168.54,477696.17,2752149.42
2024Q4,Retail Banking,Incident Response,719795.39,739167.26,318785.95
2024Q4,Retail Banking,Compliance & Audit,478289.57,429135.63,209800.03
2024Q4,Retail Banking,Cyber Insurance,620714.07,608875.99,246907.81
2024Q4,Commercial Banking,Prevention,697331.24,640586.66,2107770.5
2024Q4,Commercial Banking,Detection & Monitoring,623499.03,574027.73,2751988.54
2024Q4,Commercial Banking,Incident Response,300627.96,292592.02,54492.75
2024Q4,Commercial Banking,Compliance & Audit,332749.49,345864.76,69525.59
2024Q4,Commercial Banking,Cyber Insurance,492104.22,541106.92,42372.53
2024Q4,Wealth Management,Prevention,567674.42,564605.63,2630909.71
2024Q4,Wealth Management,Detection & Monitoring,515320.47,446648.61,1688794.16
2024Q4,Wealth Management,Incident Response,584061.85,585312.56,19935.67
2024Q4,Wealth Management,Compliance & Audit,831998.3,915079.09,214292.04
2024Q4,Wealth Management,Cyber Insurance,643023.99,559450.61,235914.93
2024Q4,Payments & Cards,Prevention,497122.87,526615.97,1887254.77
2024Q4,Payments & Cards,Detection & Monitoring,867156.83,762154.51,3169234.1
2024Q4,Payments & Cards,Incident Response,393722.39,385725.1,184098.36
2024Q4,Payments & Cards,Compliance & Audit,526838.48,555382.15,121309.27
2024Q4,Payments & Cards,Cyber Insurance,181392.68,186437.23,45608.38
2024Q4,Mortgage & Lending,Prevention,675760.31,622183.13,2969651.66
2024Q4,Mortgage & Lending,Detection & Monitoring,314007.66,294031.91,940662.54
2024Q4,Mortgage & Lending,Incident Response,432274.59,390596.46,173557.52
2024Q4,Mortgage & Lending,Compliance & Audit,727540.18,705944.72,315626.23
2024Q4,Mortgage & Lending,Cyber Insurance,895375.17,956078.03,252364.82
2024Q4,Digital Banking,Prevention,299044.6,294030.15,726394.72
2024Q4,Digital Banking,Detection & Monitoring,836539.17,875947.38,1772929.79
2024Q4,Digital Banking,Incident Response,868922.23,908788.02,436467.82
2024Q4,Digital Banking,Compliance & Audit,573546.05,540003.49,135545.82
2024Q4,Digital Banking,Cyber Insurance,617388.29,573687.02,266309.51
2024Q4,Corporate IT & Infrastructure,Prevention,326025.8,308952.59,511956.13
2024Q4,Corporate IT & Infrastructure,Detection & Monitoring,430116.45,440648.81,2557787.03
2024Q4,Corporate IT & Infrastructure,Incident Response,773036.98,836453.1,35048.35
2024Q4,Corporate IT & Infrastructure,Compliance & Audit,141476.46,129617.05,59790.46
2024Q4,Corporate IT & Infrastructure,Cyber Insurance,365883.35,356584.39,9874.07
2025Q1,Retail Banking,Prevention,669196.16,628346.23,1653208.05
2025Q1,Retail Banking,Detection & Monitoring,287848.39,259859.17,1130687.35
2025Q1,Retail Banking,Incident Response,538739.43,489961.43,199331.97
2025Q1,Retail Banking,Compliance & Audit,408953.75,357751.5,135354.98
2025Q1,Retail Banking,Cyber Insurance,266974.78,239309.84,69668.96
2025Q1,Commercial Banking,Prevention,394577.47,357496.66,1259360.95
2025Q1,Commercial Banking,Detection & Monitoring,817294.81,890611.9,1470173.29
2025Q1,Commercial Banking,Incident Response,346467.99,300513.41,124223.88
2025Q1,Commercial Banking,Compliance & Audit,565637.09,596409.69,244743.67
2025Q1,Commercial Banking,Cyber Insurance,627281.86,562121.14,40905.85
2025Q1,Wealth Management,Prevention,424068.49,461230.71,1590858.57
2025Q1,Wealth Management,Detection & Monitoring,348453.95,318353.57,694242.04
2025Q1,Wealth Management,Incident Response,643340.37,560844.0,261729.64
2025Q1,Wealth Management,Compliance & Audit,688516.02,666818.92,98682.13
2025Q1,Wealth Management,Cyber Insurance,204049.55,185611.77,52004.27
2025Q1,Payments & Cards,Prevention,481182.39,526546.34,3030362.37
2025Q1,Payments & Cards,Detection & Monitoring,693021.76,618750.94,2271800.59
2025Q1,Payments & Cards,Incident Response,467271.76,420523.98,193621.29
2025Q1,Payments & Cards,Compliance & Audit,74480.06,71546.89,4195.26
2025Q1,Payments & Cards,Cyber Insurance,861434.48,847531.2,113446.54
2025Q1,Mortgage & Lending,Prevention,504592.33,467826.65,2700049.49
2025Q1,Mortgage & Lending,Detection & Monitoring,173383.57,180950.27,1049739.58
2025Q1,Mortgage & Lending,Incident Response,276714.78,293627.38,107147.02
2025Q1,Mortgage & Lending,Compliance & Audit,527056.87,472973.42,113232.41
2025Q1,Mortgage & Lending,Cyber Insurance,520493.73,542215.12,36554.46
2025Q1,Digital Banking,Prevention,457215.75,421855.31,2182192.86
2025Q1,Digital Banking,Detection & Monitoring,482156.33,488815.98,2385162.33
2025Q1,Digital Banking,Incident Response,517453.67,455909.54,34892.28
2025Q1,Digital Banking,Compliance & Audit,105909.71,108301.4,36032.48
2025Q1,Digital Banking,Cyber Insurance,349332.78,344081.78,141869.44
2025Q1,Corporate IT & Infrastructure,Prevention,757497.43,672024.17,3130465.05
2025Q1,Corporate IT & Infrastructure,Detection & Monitoring,290829.17,295011.3,508884.98
2025Q1,Corporate IT & Infrastructure,Incident Response,597196.54,541134.09,230145.89
2025Q1,Corporate IT & Infrastructure,Compliance & Audit,383478.61,329935.31,84444.04
