finding_id,date,framework,business_unit,control_area,severity,status,regulator,finding_description
CF-3080,2024-08-02,SOX,Digital Banking,Logging & Monitoring,Medium,Remediated,FINRA,Access Control gap identified during targeted review
CF-3097,2024-08-02,GLBA,Digital Banking,Change Management,Medium,Remediated,State AG,Data Retention gap identified during external audit
CF-3023,2024-08-04,CCPA,Digital Banking,Access Control,Medium,Remediated,State AG,Data Retention gap identified during external audit
CF-3047,2024-08-05,FFIEC,Retail Banking,Business Continuity,Medium,Remediated,OCC,Access Control gap identified during external audit
CF-3101,2024-08-11,GDPR,Commercial Banking,Data Retention,Medium,Remediated,FINRA,Vendor Management gap identified during self-assessment
CF-3066,2024-08-12,SOX,Wealth Management,Business Continuity,Medium,Overdue,State AG,Logging & Monitoring gap identified during targeted review
CF-3079,2024-08-19,CCPA,Payments & Cards,Encryption,Critical,Remediated,State AG,Encryption gap identified during self-assessment
CF-3081,2024-08-31,GDPR,Digital Banking,Logging & Monitoring,Medium,Remediated,OCC,Change Management gap identified during targeted review
CF-3071,2024-09-05,SOX,Payments & Cards,Encryption,Low,Remediated,FDIC,Business Continuity gap identified during scheduled exam
CF-3045,2024-09-13,PCI-DSS,Payments & Cards,Business Continuity,Medium,Remediated,SEC,Data Retention gap identified during targeted review
CF-3069,2024-09-30,CCPA,Digital Banking,Access Control,Medium,Remediated,OCC,Encryption gap identified during targeted review
CF-3048,2024-10-06,NYDFS-23-NYCRR-500,Retail Banking,Vendor Management,Critical,Open,SEC,Vendor Management gap identified during self-assessment
CF-3099,2024-10-07,PCI-DSS,Retail Banking,Incident Response,Medium,Overdue,FDIC,Logging & Monitoring gap identified during scheduled exam
CF-3064,2024-10-10,SOX,Payments & Cards,Logging & Monitoring,High,Remediated,Federal Reserve,Incident Response gap identified during self-assessment
CF-3017,2024-10-25,PCI-DSS,Retail Banking,Access Control,Medium,Remediated,NYDFS,Access Control gap identified during targeted review
CF-3109,2024-11-14,NYDFS-23-NYCRR-500,Digital Banking,Vendor Management,Medium,Remediated,FDIC,Access Control gap identified during scheduled exam
CF-3026,2024-11-18,GLBA,Retail Banking,Incident Response,Medium,Overdue,SEC,Access Control gap identified during scheduled exam
CF-3088,2024-12-06,FFIEC,Payments & Cards,Encryption,Critical,Remediated,State AG,Access Control gap identified during external audit
CF-3022,2024-12-12,SOX,Mortgage & Lending,Business Continuity,Medium,Overdue,NYDFS,Encryption gap identified during scheduled exam
CF-3128,2024-12-22,SOX,Corporate IT & Infrastructure,Business Continuity,Low,Open,NYDFS,Encryption gap identified during external audit
CF-3011,2024-12-23,GLBA,Commercial Banking,Access Control,Medium,Remediated,SEC,Change Management gap identified during scheduled exam
CF-3061,2024-12-25,SOX,Digital Banking,Incident Response,Medium,Open,FDIC,Logging & Monitoring gap identified during scheduled exam
CF-3038,2024-12-31,CCPA,Wealth Management,Encryption,High,Remediated,State AG,Logging & Monitoring gap identified during self-assessment
CF-3051,2025-02-01,GLBA,Mortgage & Lending,Access Control,Low,Remediated,State AG,Encryption gap identified during targeted review
CF-3068,2025-02-03,GDPR,Payments & Cards,Vendor Management,High,Open,FDIC,Encryption gap identified during external audit
